Sample,ID,Response,Candidate
0037-108,"2.0",2.0,NA
0038-108,"2.0",1.9,FALSE
0039-108,"2.0",2.0,FALSE
0040-109,"1000",782.2,NA
0041-109,"1000",788.8,NA
0042-108,"2.0",2.0,TRUE
0043-109,"1000",783.2,NA
0044-109,"1000",789.0,NA
0045-108,"2.0",1.9,TRUE
0046-108,"2.0",1.9,FALSE
0047-108,"2.0",2.0,FALSE
0048-108,"2.0",1.9,FALSE
0049-109,"1000",780.9,NA
0050-109,"1000",789.8,NA
0051-108,"2.0",2.0,TRUE
0052-109,"1000",785.5,NA
0053-109,"1000",782.5,NA
0054-108,"2.0",1.9,TRUE
0055-109,"1000",779.6,NA
0056-109,"1000",783.9,NA
0057-108,"2.0",2.0,TRUE
