Sample,ID,Response,Candidate
0004-104,"200",205,NA
0005-104,"200",206,FALSE
0006-104,"200",205,FALSE
0007-105,"2000",1997,NA
0008-105,"2000",2015,NA
0009-104,"200",205,TRUE
0010-105,"2000",1982,NA
0011-105,"2000",1981,NA
0012-104,"200",205,TRUE
0013-104,"200",201,FALSE
0014-104,"200",202,FALSE
0015-104,"200",200,FALSE
0016-105,"2000",1970,NA
0017-105,"2000",1991,NA
0018-104,"200",204,TRUE
0019-105,"2000",2001,NA
0020-105,"2000",1993,NA
0021-104,"200",205,TRUE
0022-105,"2000",2003,NA
0023-105,"2000",1990,NA
0024-104,"200",199,TRUE
